laptopId;battery;cpu;description;frameRate;image;manufacturer;model;os;price;ram;resolution;screenSize;stockAvailable;storage;vga;webcam;weight
485b25e1-42b5-454f-8244-42bc8a5dad25;"3Cell 56WHrs";"AMD Ryzen™ R5-5600H Processor, 6 nhân 12 luồng";Gaming;"Mặc định";https://cellphones.com.vn/media/catalog/product/r/g/rg.jpg;Dell;"Laptop Dell Gaming G15 5515 P105F004CGR";"Windows 11 Home SL ";25990000;8GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";43;"256GB SSD M.2 PCIe NVMe";"NVIDIA® GeForce RTX™ 3050 4GB GDDR6 + AMD Radeon Graphics";"HD 720p ";"2.57 kg"
48961c44-0eae-46c2-a416-54cfff444aca;"Mặc định";"3.1GHz 6-core 10th-generation Intel Core i5 processor Turbo Boost up to 4.5GHz";"Mặc định";"Mặc định";https://cellphones.com.vn/media/catalog/product/i/m/imac_21_inch_2020_mac24h_xuo7-a6_1.png;Apple;"Apple iMac 27 5K 2020 i5 3.1 8GB 256GB Radeon 5300 Chính Hãng (MXWT2)";MacOS;49990000;8GB;"5120 x 2880 pixels";"27 inches";43;"256GB SSD";"Radeon Pro 5300 with 4GB of GDDR6 memory";"Mặc định";"8.92 kg"
48c1c025-4402-4849-8ba5-5516e3860ec8;"3 Cell, 39.3 Whr";"Intel Core i5-1335U (10 lõi / 12 luồng, 4.6 GHz, 12 MB)";"Học tập - Văn phòng, Mỏng nhẹ";60Hz;https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__1_54.png;MSI;"Laptop MSI Modern 14 C13M-608VN";"Windows 11 Home";18490000;16GB;"1920 x 1080 pixels (FullHD)";"14 inches";46;"512GB NVMe PCIe Gen3x4 SSD";"Intel Iris Xe Graphics";"HD type (30fps@720p)";"1.4 kg"
48c3fab3-041f-4fc8-aa8d-b01c376e5933;"Pin Li-Po 72.4 watt-giờ<br> Thời gian xem video trực tuyến lên đến 24 giờ<br> Thời gian duyệt web trên mạng không dây lên đến 16 giờ";"Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện";"Học tập - Văn phòng, Đồ họa - Kỹ thuật, Cao cấp - Sang trọng, Mỏng nhẹ, Laptop sáng tạo nội dung";120Hz;https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__6_137.png;Apple;"MacBook Pro 14 M4 10CPU 10GPU 24GB 1TB | Chính hãng Apple Việt Nam";macOS;49990000;24GB;"3024 x 1964 pixels ";"14.2 inches";46;1TB;"10 lõi<br>Neural Engine 16 lõi";"Camera 12MP Center Stage có hỗ trợ chế độ Desk View<br>Quay video HD 1080p<br>Bộ xử lý tín hiệu hình ảnh tiên tiến với video điện toán";"1.55 kg"
49c32add-fa07-4291-8d3e-8e3636e6c8ea;54WHrs;"Intel Core i5-13500H (12 lõi/ 16 luồng, 4.70 GHz, 18 MB)";Gaming;"144 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__4_42.png;Gigabyte;"Laptop Gigabyte G5 KF5-53VN353SH";"Windows 11 Home";29990000;16GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";46;"512GB SSD PCIe Gen4x4 Slot (1 khe PCIe 3.0)";"NVIDIA Geforce RTX 4060 8GB GDDR6";"HD Camera";"2.08 kg"
4a4c10e3-079e-47be-ba94-c24edd806c71;57Wh;"Intel Core 5 120U, 10C (2P + 8E) / 12T, P-core 1.4 / 5.0GHz, E-core 0.9 / 3.8GHz, 12MB";"Học tập - Văn phòng";"Mặc định";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_9__4_92.png;Lenovo;"Laptop Lenovo IdeaPad Slim 5 15IRU9 83D00003VN";"Windows 11 Home Single Language";22690000;32GB;"1920 x 1200 pixels (WUXGA)";"15.3 inches";46;"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, up to 1TB M.2 2242 SSD)";"Intel Graphics";"FHD 1080p + IR với Màn trập riêng tư, Cảm biến ToF";"1.79 kg"
4a57a463-2490-4f2d-8ac6-800a8638a958;"37WHrs, 2S1P, 2-cell Li-ion";"Intel Core i3-1115G4 3.0 GHz (6M Cache, up to 4.1 GHz, 2 lõi)";"Học tập - Văn phòng";60Hz;https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_23__19.png;ASUS;"Laptop ASUS VivoBook X515EA-EJ3633W";"Windows 11 Home";11990000;8GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";43;"512GB M.2 NVMe PCIe 3.0 SSD";"Intel UHD Graphics";"VGA camera";"1.80 kg"
4afff961-a8db-44e0-a31c-68f7bfe6fcea;"42WHrs, 3S1P, 3-cell Li-ion";"Intel Core i7-1255U 1.7 GHz (12M Cache, up to 4.7 GHz, 10 lõi)";"Học tập - Văn phòng";"60 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_40__2_24.png;ASUS;"Laptop ASUS Vivobook 15 X1504ZA-NJ1039W";"Windows 11 Home ";17990000;16GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";46;"512GB M.2 NVMe PCIe 4.0 SSD";"Intel Iris Xe Graphics";"720p HD với màn trập camera";"1.70 kg"
4ca7cf46-9e46-4a04-b726-281c703c555d;"48 Wh, 150 W";"AMD Ryzen 7 7435HS 3.1 - 4.5 GHz";"Đồ họa - Kỹ thuật, Gaming";"144 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__6_64.png;ASUS;"Laptop ASUS TUF Gaming A15 FA506NFR-HN006W";"Windows 11";21990000;16GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";46;"512GB SSD M2 PCIe (Nâng cấp tối đa 1TB)";"NVIDIA Geforce RTX 2050, 104 TOPS";"720P HD camera";"2.3 kg"
4d6f11a6-47d7-496b-9666-dcdbec343816;60Wh;"Intel Core i5-12450HX, 8C (4P + 4E) / 12T, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB";"Đồ họa - Kỹ thuật, Gaming";"144 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_45__3_13.png;Lenovo;"Laptop Lenovo LOQ 15IAX9 83GS001QVN";"Windows 11 Home Single Language, English";26990000;12GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";46;"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp tối đa 1TB)";"NVIDIA GeForce RTX 4050 6GB GDDR6, Boost Clock 2370MHz, TGP 105W";"HD 720p với E-shutter";"2.38 kg"
4da4b51a-bcf4-4c32-9ec4-920a4411f118;"90WHrs, 4S1P, 4-cell Li-ion";"Intel Core I7-12700H (2.3 GHz, 24M Cache, up to 4.7 GHz, 14 lõi: 6 lõi P và 8 lõi E)";"Đồ họa - Kỹ thuật, Gaming";"144 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__3_56.png;ASUS;"Laptop ASUS TUF Gaming F15 FX507ZV4-LP042W";"Windows 11 Home";37490000;16GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";43;"512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB)";"NVIDIA GeForce RTX 4060 8GB GDDR6 2420MHz";"720P HD camera";"2.20 kg"
4e27c2fb-1538-43b3-90ec-884e2210b047;"56 Wh ";"Intel® Core™ i5-1240P";"Học tập - Văn phòng, Cao cấp - Sang trọng";"Mặc định";https://cellphones.com.vn/media/catalog/productno_selection;Huawei;"Laptop Huawei Matebook D14 ";"Windows 11 Home ";16990000;16GB;"1080 x 1920 pixels (FullHD)";"14 inches";43;"SSD 512GB NVMe PCIe SSD";"Intel® Iris® Xe Graphics";"720P HD camera";"1.49 kg"
